timestamp,success,fail,latency_ms,endpoint
2025-11-24 14:20:59,1,0,98,/health
2025-11-24 14:20:59,1,0,93,/health
2025-11-24 14:20:59,1,0,99,/health
2025-11-24 14:20:59,1,0,103,/health
2025-11-24 14:20:59,1,0,98,/health
2025-11-24 14:20:59,1,0,107,/health
2025-11-24 14:20:59,1,0,84,/health
2025-11-24 14:20:59,1,0,135,/health
2025-11-24 14:20:59,1,0,110,/health
2025-11-24 14:20:59,1,0,116,/health
2025-11-24 14:20:59,1,0,142,/health
2025-11-24 14:20:59,1,0,92,/health
2025-11-24 14:20:59,1,0,100,/health
2025-11-24 14:20:59,1,0,123,/health
2025-11-24 14:20:59,1,0,122,/health
2025-11-24 14:20:59,1,0,160,/health
2025-11-24 14:20:59,1,0,131,/health
2025-11-24 14:20:59,1,0,88,/health
2025-11-24 14:20:59,1,0,126,/health
2025-11-24 14:20:59,1,0,123,/health
2025-11-24 14:21:00,1,0,37,/api/v2/hello
2025-11-24 14:21:00,1,0,43,/api/v2/hello
2025-11-24 14:21:00,1,0,41,/api/v2/hello
2025-11-24 14:21:00,1,0,57,/api/v2/hello
2025-11-24 14:21:00,1,0,62,/api/v2/hello
2025-11-24 14:21:00,1,0,52,/api/v2/hello
2025-11-24 14:21:00,1,0,54,/api/v2/hello
2025-11-24 14:21:00,1,0,57,/api/v2/hello
2025-11-24 14:21:00,1,0,60,/api/v2/hello
2025-11-24 14:21:00,1,0,61,/api/v2/hello
2025-11-24 14:21:00,1,0,62,/api/v2/hello
2025-11-24 14:21:00,1,0,66,/api/v2/hello
2025-11-24 14:21:00,1,0,60,/api/v2/hello
2025-11-24 14:21:00,1,0,72,/api/v2/hello
2025-11-24 14:21:00,1,0,71,/api/v2/hello
2025-11-24 14:21:00,1,0,73,/api/v2/hello
2025-11-24 14:21:00,1,0,66,/api/v2/hello
2025-11-24 14:21:00,1,0,72,/api/v2/hello
2025-11-24 14:21:00,1,0,68,/api/v2/hello
2025-11-24 14:21:00,1,0,82,/api/v2/hello
2025-11-24 14:21:00,1,0,15,/api/plugins
2025-11-24 14:21:00,1,0,20,/api/plugins
2025-11-24 14:21:00,1,0,14,/api/plugins
2025-11-24 14:21:00,1,0,17,/api/plugins
2025-11-24 14:21:00,1,0,24,/api/plugins
2025-11-24 14:21:00,1,0,35,/api/plugins
2025-11-24 14:21:00,1,0,49,/api/plugins
2025-11-24 14:21:00,1,0,57,/api/plugins
2025-11-24 14:21:00,1,0,49,/api/plugins
2025-11-24 14:21:00,1,0,53,/api/plugins
2025-11-24 14:21:00,1,0,52,/api/plugins
2025-11-24 14:21:00,1,0,58,/api/plugins
2025-11-24 14:21:00,1,0,68,/api/plugins
2025-11-24 14:21:00,1,0,69,/api/plugins
2025-11-24 14:21:00,1,0,65,/api/plugins
2025-11-24 14:21:00,1,0,58,/api/plugins
2025-11-24 14:21:00,1,0,60,/api/plugins
2025-11-24 14:21:00,1,0,57,/api/plugins
2025-11-24 14:21:00,1,0,52,/api/plugins
